id,name,programId,levelId,openings,futureOpenings,dayNumber,startTime,endTime,dayName,location,location.short,level,helper,helper2
824,Swish! Laguna - 20m Outdoor Pool: Zuma Paddler with Coach Shar P.,68,9,0,0,7,4:30 PM,5:00PM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Paddler,Sat|Laguna - 20m Outdoor Pool|Zuma Paddler|4:30 PM,Sat|Laguna|Zuma Paddler|4:30 PM
3248,Swish! Aqua Studio - Outdoor Pool: Zuma Rainbow with Coach Muhammad Danial B.,61,13,5,0,6,5:00 PM,5:30PM,Fri,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Rainbow,Fri|Aqua Studio - Outdoor Pool|Zuma Rainbow|5:00 PM,Fri|Aqua Studio|Zuma Rainbow|5:00 PM
2461,Swish! Hub - Sheltered Pool: Zuma Rainbow with Coach Cal C.,17,13,4,0,1,2:00 PM,2:30PM,Sun,Hub - Sheltered Pool,Hub,Zuma Rainbow,Sun|Hub - Sheltered Pool|Zuma Rainbow|2:00 PM,Sun|Hub|Zuma Rainbow|2:00 PM
706,Swish! Hub - Sheltered Pool: Zuma Rainbow,17,13,4,0,1,2:30 PM,3:00PM,Sun,Hub - Sheltered Pool,Hub,Zuma Rainbow,Sun|Hub - Sheltered Pool|Zuma Rainbow|2:30 PM,Sun|Hub|Zuma Rainbow|2:30 PM
3237,Swish! Laguna - 20m Outdoor Pool: Zuma Rainbow with Coach Muhammad Danial B.,68,13,4,0,2,5:00 PM,5:30PM,Mon,Laguna - 20m Outdoor Pool,Laguna,Zuma Rainbow,Mon|Laguna - 20m Outdoor Pool|Zuma Rainbow|5:00 PM,Mon|Laguna|Zuma Rainbow|5:00 PM
2644,Swish! Laguna - 20m Outdoor Pool: Zuma Rainbow with Coach Ivan T.,68,13,4,0,7,8:00 AM,8:30AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Rainbow,Sat|Laguna - 20m Outdoor Pool|Zuma Rainbow|8:00 AM,Sat|Laguna|Zuma Rainbow|8:00 AM
586,Swish! Aqua Studio - Outdoor Pool: Zuma Rainbow with Coach Ian W.,61,13,3,0,7,10:00 AM,10:30AM,Sat,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Rainbow,Sat|Aqua Studio - Outdoor Pool|Zuma Rainbow|10:00 AM,Sat|Aqua Studio|Zuma Rainbow|10:00 AM
3224,Swish! Laguna - 20m Outdoor Pool: Zuma Rainbow with Coach Imam R.,68,13,2,0,1,11:30 AM,12:00PM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Rainbow,Sun|Laguna - 20m Outdoor Pool|Zuma Rainbow|11:30 AM,Sun|Laguna|Zuma Rainbow|11:30 AM
2705,Swish! Laguna - 20m Outdoor Pool: Zuma Rainbow with Coach Ivan T.,68,13,2,0,1,4:00 PM,4:30PM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Rainbow,Sun|Laguna - 20m Outdoor Pool|Zuma Rainbow|4:00 PM,Sun|Laguna|Zuma Rainbow|4:00 PM
2779,Swish! Laguna - 20m Outdoor Pool: Zuma Rainbow with Coach Ivan T.,68,13,2,0,7,5:30 PM,6:00PM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Rainbow,Sat|Laguna - 20m Outdoor Pool|Zuma Rainbow|5:30 PM,Sat|Laguna|Zuma Rainbow|5:30 PM
